Work Order,Activity Code,Name,Scion,Rootstock,Bin Number,Piece Row Position,Internal ID,Tray Type,Scion Material Type,Budwood Source,Rootstock Material Type,Rootstock Source,Label Color,Quantity,Crop,Scion Patent,Rootstock Patent,Lot Number,Labels Needed,Scion Label Color,Rootstock Label Color,Last Updated,SCRIPT_VERSION
WO314,Pre-Ship Sorting - 100mm,Almond | Sonora | Krymsk® 86 | 100mm 8 | Pre-ship,Sonora,Krymsk® 86,- None -,,15229,100mm 8,,,,,Tan,1,Almond,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3628,Pre-Ship Sorting - 100mm,Peach (Freestone) | Redhaven | Krymsk® 86 | 100mm 8 | Pre-ship,Redhaven,Krymsk® 86,High Tunnels #06-B,,15024,100mm 8,,,,,Red,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3626,Pre-Ship Sorting - 100mm,Prune | French Prune | Krymsk® 86 | 100mm 8 | Pre-ship,French Prune,Krymsk® 86,Shadehouse #03-E,,14446,100mm 8,,,,,Dark Blue,1,Prune,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3421,Pre-Ship Sorting - 100mm,Peach (Freestone) | Redhaven | Krymsk® 1 | 100mm 8 | Pre-ship,Redhaven,Krymsk® 1,Can Yard #06,,15020,100mm 8,,,,,Lavender,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO297,Pre-Ship Sorting - 100mm,Nectarine | Independence Nectarine | Krymsk® 86 | 100mm 8 | Pre-ship,Independence Nectarine,Krymsk® 86,- None -,,14602,100mm 8,,,,,Gold,1,Nectarine,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4747,Potting Up - 120mm,Pistachio Rootstock | | RSCH Rootstock | 120mm 6 |,,RSCH Rootstock,FourBays #06,,36284,120mm 6,,,Seed,,,1,Pistachio Rootstock,,,| B4.7/D8.6,.17,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO1128,Pre-Ship Sorting - 100mm,Orange | Moro Blood | Carrizo | 100mm 8 | Pre-Ship,Moro Blood,Carrizo,- None -,,29385,100mm 8,,,,,Red,1,Orange,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4746,Potting Up - 120mm,Pistachio Rootstock | | RSCH Rootstock | 120mm 6 |,,RSCH Rootstock,FourBays #06,,36284,120mm 6,,,Seed,,,1,Pistachio Rootstock,,,| A4.8/P. lentiscus,.17,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4996,- None -,Kiwi | RSCH Own Rooted | | Oversize |,RSCH Own Rooted,,Shadehouse #03-E,,37417,Oversize,,,,,- None -,1,Kiwi,,,Kiwi WRG |,0,Dark Green,Dark Green,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3954,Pre-Ship Sorting - 100mm,Plumcot | Flavor Supreme | Krymsk® 86 | 100mm 8 | Pre-ship,Flavor Supreme,Krymsk® 86,Can Yard #06,,14434,100mm 8,,,,,Yellow,1,Plumcot,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3625,Pre-Ship Sorting - 100mm,Prune | Denny Prune | Krymsk® 86 | 100mm 8 | Pre-ship,Denny Prune,Krymsk® 86,Shadehouse #03-E,,14220,100mm 8,,,,,Dark Purple,1,Prune,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4000,Pre-Ship Sorting - 100mm,Plumcot | Flavor Supreme | Krymsk® 86 | 100mm 8 | Pre-ship,Flavor Supreme,Krymsk® 86,Can Yard #06,,14434,100mm 8,,,,,Yellow,1,Plumcot,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO2125,Pre-Ship Sorting - 100mm,Peach (Freestone) | Starfire™ FA 11 | Krymsk® 86 | 100mm 8 | Pre-ship,Starfire™ FA 11,Krymsk® 86,Can Yard #06,,15243,100mm 8,,,,,Turquoise,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO2126,Pre-Ship Sorting - 100mm,Nectarine | Snow Queen | Krymsk® 86 | 100mm 8 | Pre-ship,Snow Queen,Krymsk® 86,High Tunnels #06-B,,15219,100mm 8,,,,,Grey,1,Nectarine,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO1380,Pre-Ship Sorting - 100mm,Nectarine | Snow Queen | Krymsk® 86 | 100mm 8 | Pre-ship,Snow Queen,Krymsk® 86,- None -,,15219,100mm 8,,,,,Grey,1,Nectarine,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5521,Pre-Ship Sorting - 80mm,Cherry | Rainier | Gisela® 12 | 80mm 15 | Pre-ship,Rainier,Gisela® 12,Shadehouse #03-E,,14959,80mm 15,,,,,Gold,1,Cherry,,,2026,.07,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4745,Potting Up - 120mm,Pistachio Rootstock | | RSCH Rootstock | 120mm 6 |,,RSCH Rootstock,FourBays #06,,36284,120mm 6,,,Seed,,,1,Pistachio Rootstock,,,| B4.7/B4.4,.17,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5057,Pre-Ship Sorting - 100mm,Nectarine | Snow Queen | Krymsk® 86 | 100mm 8 | Pre-ship,Snow Queen,Krymsk® 86,High Tunnels #06-B,,15219,100mm 8,,,,,Grey,1,Nectarine,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3953,Pre-Ship Sorting - 100mm,Apricot | Royal Blenheim | Krymsk® 86 | 100mm 8 | Pre-ship,Royal Blenheim,Krymsk® 86,Can Yard #06,,15060,100mm 8,,,,,Yellow,1,Apricot,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3627,Pre-Ship Sorting - 100mm,Nectarine | Goldmine | Krymsk® 86 | 100mm 8 | Pre-ship,Goldmine,Krymsk® 86,High Tunnels #06-D,,14574,100mm 8,,,,,Brown,1,Nectarine,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3422,Pre-Ship Sorting - 100mm,Peach (Freestone) | Babcock | Krymsk® 86 | 100mm 8 | Pre-ship,Babcock,Krymsk® 86,Can Yard #06,,13972,100mm 8,,,,,Apple Green,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO1368,Pre-Ship Sorting - 100mm,Nectarine | Independence Nectarine | Krymsk® 86 | 100mm 8 | Pre-ship,Independence Nectarine,Krymsk® 86,- None -,,14602,100mm 8,,,,,Gold,1,Nectarine,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4537,Pre-Ship Sorting - 100mm,Peach (Freestone) | Roza | Krymsk® 86 | 100mm 8 | Pre-ship,Roza,Krymsk® 86,High Tunnels #06-B,,15100,100mm 8,,,,,Dark Purple,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3732,Sorting - 100mm,Fruit and Nut Rootstock | | RSCH Rootstock | 100mm 8 |,,RSCH Rootstock,- None -,,36079,100mm 8,,,,,,1,Fruit and Nut Rootstock,,,| Vi-T1- SG1® Titan-2C,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5056,Pre-Ship Sorting - 100mm,Apricot | Royal Blenheim | Krymsk® 86 | 100mm 8 | Pre-ship,Royal Blenheim,Krymsk® 86,Can Yard #06,,15060,100mm 8,,,,,Yellow,1,Apricot,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3859,Pre-Ship Sorting - 100mm,Orange | Moro Blood | Carrizo | 100mm 8 | Pre-Ship,Moro Blood,Carrizo,GH #07 - Zone #02,,29385,100mm 8,,,,,Red,1,Orange,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3896,Pre-Ship Sorting - 120mm,Pistachio | Golden Hills | Yankee™ | 120mm 6 | Pre-ship,Golden Hills,Yankee™,High Tunnels #06-D,,14568,120mm 6,,,,,Turquoise,1,Pistachio,USPP# 17158,,2026,.17,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3274,Pre-Ship Sorting - 120mm,Pistachio | Golden Hills | Seeded UCB-1 | 120mm 6 | Pre-ship,Golden Hills,Seeded UCB-1,High Tunnels #06-B,,14565,120mm 6,,,,,Mint,1,Pistachio,USPP# 17158,,2026,.17,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO1203,Pre-Ship Sorting - 100mm,Peach (Freestone) | Roza | Krymsk® 86 | 100mm 8 | Pre-ship,Roza,Krymsk® 86,High Tunnels #06-B,,15100,100mm 8,Dormant Budwood,Block #28,Hardwood Cutting,Prune South,Dark Purple,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO301,Pre-Ship Sorting - 100mm,Peach (Freestone) | Desert Gold | Krymsk® 86 | 100mm 8 | Pre-ship,Desert Gold,Krymsk® 86,- None -,,14244,100mm 8,,,,,Hot Pink,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3734,Sorting - 100mm,Fruit and Nut Rootstock | | RSCH Rootstock | 100mm 8 |,,RSCH Rootstock,- None -,,36079,100mm 8,,,,,,1,Fruit and Nut Rootstock,,,| Vi-T1- SG1® Titan-4B,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3396,Pre-Ship Sorting - 100mm,Orange | Moro Blood | Carrizo | 100mm 8 | Pre-Ship,Moro Blood,Carrizo,GH #07 - Zone #02,,29385,100mm 8,,,,,Red,1,Orange,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO299,Pre-Ship Sorting - 100mm,Plum | Santa Rosa | Krymsk® 86 | 100mm 8 | Pre-ship,Santa Rosa,Krymsk® 86,- None -,,15104,100mm 8,,,,,Turquoise,1,Plum,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO303,Pre-Ship Sorting - 100mm,Peach (Freestone) | Gleason Elberta | Krymsk® 86 | 100mm 8 | Pre-ship,Gleason Elberta,Krymsk® 86,- None -,,14513,100mm 8,,,,,Hot Pink,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3641,Pre-Ship Sorting - 100mm,Orange | Moro Blood | Carrizo | 100mm 8 | Pre-Ship,Moro Blood,Carrizo,GH #07 - Zone #02,,29385,100mm 8,,,,,Red,1,Orange,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3730,Sorting - 100mm,Almond | RSCH Scion | RSCH Rootstock | 100mm 8 |,RSCH Scion,RSCH Rootstock,- None -,,35931,100mm 8,,,,,White,1,Almond,,,Nonpareil | Vi-T1- SG1® Titan-2B,.13,White,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4001,Pre-Ship Sorting - 100mm,Plum | Mariposa | Krymsk® 86 | 100mm 8 | Pre-ship,Mariposa,Krymsk® 86,Can Yard #06,,14752,100mm 8,,,,,Pink,1,Plum,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3083,Potting Up - 100mm,Kiwi | | RSCH Rootstock | 100mm 8 |,,RSCH Rootstock,Shadehouse #05,,36734,100mm 8,,,,,,2,Kiwi,,,| Bruno,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5403,Pre-Ship Sorting - 100mm,Peach (Freestone) | Desert Gold | Krymsk® 86 | 100mm 8 | Pre-ship,Desert Gold,Krymsk® 86,Can Yard #06,,14244,100mm 8,,,,,Hot Pink,2,Peach (Freestone),,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4072,Pre-Ship Sorting - 100mm,Peach (Freestone) | Tropic Snow | Krymsk® 86 | 100mm 8 | Pre-ship,Tropic Snow,Krymsk® 86,High Tunnels #06-B,,15381,100mm 8,,,,,Gold,2,Peach (Freestone),,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4201,Budding - 40mm,Almond | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,35935,40mm 50,,,,,Gold,2,Almond,,,Sonora | UCD 19.2.104,.04,Gold,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3025,Pre-Ship Sorting - 100mm,Apple | Anna | Bud 118 | 100mm 8 | CN,Anna,Bud 118,- None -,,16003,100mm 8,,,,,Dark Blue,2,Apple,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4207,Budding - 40mm,Almond | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,35935,40mm 50,,,,,,2,Almond,,,A16-26 UCD | Krymsk® 86,.04,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4208,Budding - 40mm,Almond | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,35935,40mm 50,,,,,,2,Almond,,,A17-26 UCD | Krymsk® 86,.04,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3508,Pre-Ship Sorting - 100mm,Cherry | Rainier | Colt | 100mm 8 | Pre-ship,Rainier,Colt,- None -,,14952,100mm 8,,,,,Tan,2,Cherry,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO1102,Pre-Ship Sorting - 100mm,Nectarine | Sun Glo | Krymsk® 86 | 100mm 8 | Pre-ship,Sun Glo,Krymsk® 86,High Tunnels #06-B,,15263,100mm 8,Green Budwood,Block #28,Hardwood Cutting,Prune South,Fuchsia,2,Nectarine,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5148,Pre-Ship Sorting - 100mm,Apple | Anna | Bud 118 | 100mm 8 | Pre-ship,Anna,Bud 118,Shadehouse #04-W,,21648,100mm 8,,,,,Dark Blue,2,Apple,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4202,Budding - 40mm,Almond | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,35935,40mm 50,,,,,,2,Almond,,,A11-26 UCD | Krymsk® 86,.04,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3136,Grafting,Prune | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36332,40mm 50,,,,,Grey,2,Prune,,,K3S-36 | Krymsk® 86,.04,Grey,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5401,Pre-Ship Sorting - 100mm,Nectarine | Snow Queen | Krymsk® 86 | 100mm 8 | Pre-ship,Snow Queen,Krymsk® 86,High Tunnels #06-B,,15219,100mm 8,,,,,Grey,2,Nectarine,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4205,Budding - 40mm,Almond | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,35935,40mm 50,,,,,,2,Almond,,,A14-26 UCD | Krymsk® 86,.04,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO1101,Pre-Ship Sorting - 100mm,Nectarine | Snow Queen | Krymsk® 86 | 100mm 8 | Pre-ship,Snow Queen,Krymsk® 86,High Tunnels #06-B,,15219,100mm 8,Green Budwood,Block #28,Hardwood Cutting,Prune South,Grey,2,Nectarine,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4204,Budding - 40mm,Almond | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,35935,40mm 50,,,,,,2,Almond,,,A13-26 UCD | Krymsk® 86,.04,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4206,Budding - 40mm,Almond | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,35935,40mm 50,,,,,,2,Almond,,,A15-26 UCD | Krymsk® 86,.04,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3768,Budding - 100mm,Kiwi | RSCH Scion | RSCH Rootstock | 100mm 8 |,RSCH Scion,RSCH Rootstock,Shadehouse #05,,36105,100mm 8,Graftstick,,,,Orange,2,Kiwi,,,M12 | Bounty 71,.25,Orange,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO1731,Pre-Ship Sorting - 100mm,Nectarine | Snow Queen | Krymsk® 86 | 100mm 8 | Pre-ship,Snow Queen,Krymsk® 86,- None -,,15219,100mm 8,,,,,Grey,2,Nectarine,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5507,Pre-Ship Sorting - 100mm,Cherry | Skeena™ | Krymsk® 5 | 100mm 8 | Pre-ship,Skeena™,Krymsk® 5,Shadehouse #04-W,,15195,100mm 8,,,,,Brown,2,Cherry,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5143,Pre-Ship Sorting - 100mm,Nectarine | Snow Queen | Krymsk® 86 | 100mm 8 | Pre-ship,Snow Queen,Krymsk® 86,High Tunnels #06-B,,15219,100mm 8,,,,,Grey,2,Nectarine,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4581,Pre-Ship Sorting - 120mm,Pistachio | Peters | Seeded UCB-1 | 120mm 6 | Pre-ship,Peters,Seeded UCB-1,High Tunnels #06-B,,14927,120mm 6,,,,,White,2,Pistachio,,,2026,.33,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4203,Budding - 40mm,Almond | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,35935,40mm 50,,,,,,2,Almond,,,A12-26 UCD | Krymsk® 86,.04,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5505,Pre-Ship Sorting - 80mm,Cherry | Lapins | Krymsk® 5 | 80mm 15 | Pre-ship,Lapins,Krymsk® 5,High Tunnels #05-B,,14708,80mm 15,,,,,Orange,2,Cherry,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4209,Budding - 40mm,Almond | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,35935,40mm 50,,,,,,2,Almond,,,A18-26 UCD | Krymsk® 86,.04,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3733,Sorting - 100mm,Fruit and Nut Rootstock | | RSCH Rootstock | 100mm 8 |,,RSCH Rootstock,- None -,,36079,100mm 8,,,,,,2,Fruit and Nut Rootstock,,,| Vi-T1- SG1® Titan-3A,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3137,Grafting,Prune | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36332,40mm 50,,,,,Grey,2,Prune,,,K3S-36 | M-40,.04,Grey,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO267,Pre-Ship Sorting - 100mm,Almond | Winters | SG1® Titan | 100mm 8 | Pre-ship,Winters,SG1® Titan,- None -,,15427,100mm 8,,,,,Hot Pink,2,Almond,,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5144,Pre-Ship Sorting - 100mm,Peach (Freestone) | Desert Gold | Krymsk® 86 | 100mm 8 | Pre-ship,Desert Gold,Krymsk® 86,Can Yard #06,,14244,100mm 8,,,,,Hot Pink,2,Peach (Freestone),,,2026,.25,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3144,Grafting,Prune | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36332,40mm 50,,,,,Dark Purple,3,Prune,,,K7N-205 | Krymsk® 86,.06,Dark Purple,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5320,Potting Up - 100mm,Prune | RSCH Scion | RSCH Rootstock | 100mm 8 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36327,100mm 8,,,,,Dark Purple,3,Prune,,,K7N-205 | M-40,.38,Dark Purple,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5316,Potting Up - 100mm,Prune | RSCH Scion | RSCH Rootstock | 100mm 8 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36327,100mm 8,,,,,Coral,3,Prune,,,K4N-132 | M-40,.38,Coral,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5312,Potting Up - 100mm,Prune | RSCH Scion | RSCH Rootstock | 100mm 8 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36327,100mm 8,,,,,Dark Blue,3,Prune,,,K3N-140 | M-40,.38,Dark Blue,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO5324,Potting Up - 100mm,Prune | RSCH Scion | RSCH Rootstock | 100mm 8 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36327,100mm 8,,,,,Hot Pink,3,Prune,,,K9S-17 | M-40,.38,Hot Pink,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4160,Grafting,Prune | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36332,40mm 50,,,,,,3,Prune,,,D14N-19 | M-40,.06,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3142,Grafting,Prune | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36332,40mm 50,,,,,Yellow,3,Prune,,,K7N-198 | Krymsk® 86,.06,Yellow,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO2993,Pre-Ship Sorting - 120mm,Pistachio | Randy | Seeded UCB-1 | 120mm 6 | Pre-ship,Randy,Seeded UCB-1,High Tunnels #06-B,,14983,120mm 6,,,,,Grey,3,Pistachio,USPP# 18262,,2026,.5,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3128,Grafting,Prune | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36332,40mm 50,,,,,Hot Pink,3,Prune,,,K2S-35 | Krymsk® 86,.06,Hot Pink,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3125,Grafting,Prune | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36332,40mm 50,,,,,Gold,3,Prune,,,K2N-168 | M-40,.06,Gold,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3123,Grafting,Prune | RSCH Scion | RSCH Rootstock | 40mm 50 |,RSCH Scion,RSCH Rootstock,FourBays #06,,36332,40mm 50,,,,,Tan,3,Prune,,,K2N-140 | M-40,.06,Tan,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
